               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,             0.05217,            0.010556,            0.032451,              0.3015,                   1,             0.49502,             0.31062,            0.022207,           0.0072956,            0.023227,           0.0090892,           0.0090892,           0.0090892
                  48,            0.042513,             0.01429,            0.037925,             0.19546,                0.75,             0.38132,             0.17505,            0.032245,           0.0065517,            0.023209,           0.0090694,           0.0090694,           0.0090694
                  49,            0.046291,            0.011499,            0.032208,             0.32062,                   1,             0.54942,             0.35508,            0.027919,           0.0058603,            0.023309,           0.0090496,           0.0090496,           0.0090496
                  50,            0.038536,            0.010828,            0.032357,             0.29774,             0.92413,             0.57772,              0.2753,            0.029334,           0.0053539,            0.023218,           0.0090298,           0.0090298,           0.0090298
                  51,            0.036873,            0.013147,            0.035957,             0.31879,                   1,             0.64687,             0.45649,            0.020845,           0.0052595,            0.023392,             0.00901,             0.00901,             0.00901
                  52,            0.041208,            0.011096,            0.029146,             0.32918,                   1,             0.51119,             0.26751,            0.022803,           0.0055819,              0.0233,           0.0089902,           0.0089902,           0.0089902
                  53,            0.034803,            0.013729,            0.028996,             0.33095,                   1,             0.60689,              0.4165,            0.019815,           0.0054073,            0.023254,           0.0089704,           0.0089704,           0.0089704
                  54,            0.034587,            0.014295,            0.030976,             0.28256,             0.95833,             0.49876,             0.15562,            0.032065,           0.0073767,            0.023364,           0.0089506,           0.0089506,           0.0089506
                  55,            0.043862,            0.011869,            0.035425,             0.32952,                   1,             0.51736,             0.32888,            0.021385,           0.0065804,              0.0233,           0.0089308,           0.0089308,           0.0089308
                  56,            0.027109,             0.01085,            0.024585,             0.23777,               0.875,             0.42154,             0.10683,            0.042193,           0.0062962,            0.023383,            0.008911,            0.008911,            0.008911
                  57,            0.029149,            0.012402,            0.023394,             0.31791,                   1,             0.63508,             0.45114,            0.015871,            0.005065,              0.0233,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034707,            0.011082,            0.036485,             0.33491,                   1,             0.77394,              0.3373,            0.027676,           0.0051708,             0.02298,           0.0088714,           0.0088714,           0.0088714
                  59,             0.03754,             0.01213,            0.031536,             0.33473,             0.98166,             0.82161,             0.53058,            0.021244,           0.0046911,            0.022714,           0.0088516,           0.0088516,           0.0088516
                  60,            0.030213,            0.011597,            0.030989,             0.43669,             0.95833,             0.83313,             0.49919,            0.024116,           0.0050364,            0.022614,           0.0088318,           0.0088318,           0.0088318
                  61,            0.036606,            0.011529,            0.030929,             0.36086,                   1,             0.75435,             0.47035,            0.024256,           0.0048685,             0.02244,            0.008812,            0.008812,            0.008812
                  62,            0.044631,             0.01205,            0.035116,              0.4312,                   1,             0.75764,             0.52069,            0.016492,           0.0045481,            0.022385,           0.0087922,           0.0087922,           0.0087922
                  63,            0.030307,           0.0095908,            0.032272,             0.33683,                   1,             0.76677,             0.41961,            0.026599,           0.0053072,             0.02243,           0.0087724,           0.0087724,           0.0087724
                  64,            0.040588,            0.011551,            0.033608,             0.33924,                   1,             0.80629,             0.60788,             0.01416,            0.004858,            0.022403,           0.0087526,           0.0087526,           0.0087526
                  65,            0.044861,            0.011511,            0.033877,             0.37849,                   1,             0.80481,             0.52156,            0.018825,           0.0047731,            0.022137,           0.0087328,           0.0087328,           0.0087328
                  66,            0.030549,           0.0095733,            0.032103,             0.56973,               0.875,             0.75661,             0.53927,             0.01722,           0.0051193,            0.022092,            0.008713,            0.008713,            0.008713
                  67,            0.041995,            0.010637,            0.034387,             0.40407,             0.82126,             0.74014,             0.42535,            0.027464,           0.0047388,             0.02178,           0.0086932,           0.0086932,           0.0086932
                  68,            0.035631,            0.012244,            0.028935,             0.41761,             0.92143,              0.7991,             0.51324,            0.018511,           0.0046482,            0.022101,           0.0086734,           0.0086734,           0.0086734
                  69,            0.039766,           0.0098813,             0.03165,             0.37285,                   1,             0.73743,             0.33744,            0.027911,           0.0054541,            0.021753,           0.0086536,           0.0086536,           0.0086536
                  70,            0.033824,           0.0092042,            0.028747,             0.41771,             0.85859,             0.70648,             0.42975,             0.02396,           0.0049248,            0.021744,           0.0086338,           0.0086338,           0.0086338
                  71,            0.037701,            0.011296,            0.032472,             0.37107,             0.98013,             0.78379,             0.47315,            0.022989,           0.0047913,            0.021991,            0.008614,            0.008614,            0.008614
                  72,            0.046781,            0.011356,            0.034595,             0.38694,             0.96747,             0.77855,             0.51448,             0.01708,            0.004674,            0.021881,           0.0085942,           0.0085942,           0.0085942
                  73,            0.023136,           0.0094523,            0.026243,             0.29141,             0.91115,             0.63282,             0.18652,            0.039606,           0.0049706,            0.021112,           0.0085744,           0.0085744,           0.0085744
                  74,            0.042282,           0.0096439,            0.030698,             0.75115,             0.76794,             0.83334,             0.42461,             0.02202,           0.0046196,            0.020581,           0.0085546,           0.0085546,           0.0085546
                  75,            0.034115,            0.011219,            0.027179,             0.33252,                   1,             0.86191,             0.50596,             0.02233,           0.0048351,            0.021295,           0.0085348,           0.0085348,           0.0085348
                  76,            0.038225,             0.01127,              0.0347,             0.33186,                   1,             0.77697,             0.48691,            0.019224,           0.0047188,             0.02189,            0.008515,            0.008515,            0.008515
                  77,            0.030147,            0.011061,            0.028736,             0.33728,                   1,             0.73461,             0.41999,            0.022907,           0.0046568,            0.020641,           0.0084952,           0.0084952,           0.0084952
                  78,            0.029756,            0.010893,            0.027627,              0.5479,             0.91667,             0.71818,             0.42207,            0.021775,           0.0046587,            0.020284,           0.0084754,           0.0084754,           0.0084754
                  79,            0.046872,             0.01015,              0.0345,             0.33153,                   1,              0.6976,             0.40774,              0.0203,           0.0045471,            0.020728,           0.0084556,           0.0084556,           0.0084556
                  80,            0.020674,            0.010172,            0.023801,             0.35759,                   1,             0.70561,             0.44219,            0.020421,           0.0044575,            0.020764,           0.0084358,           0.0084358,           0.0084358
                  81,            0.038405,           0.0097884,            0.033681,             0.44237,             0.85795,             0.71066,             0.32056,            0.027108,           0.0046911,            0.020306,            0.008416,            0.008416,            0.008416
